Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
War Thunder,2013-08-15,0.0,"20,000,000 .. 50,000,000",Gaijin Entertainment,Gaijin Distribution KFT,2.00E+07,5.00E+07,20.0M,50.0M
Garry's Mod,2006-11-29,9.99,"20,000,000 .. 50,000,000",Facepunch Studios,Valve,2.00E+07,5.00E+07,20.0M,50.0M
Stardew Valley,2016-02-26,14.99,"10,000,000 .. 20,000,000",ConcernedApe,ConcernedApe,1.00E+07,2.00E+07,10.0M,20.0M
Don't Starve Together,2016-04-21,14.99,"10,000,000 .. 20,000,000",Klei Entertainment,Klei Entertainment,1.00E+07,2.00E+07,10.0M,20.0M
The Forest,2018-04-30,19.99,"10,000,000 .. 20,000,000",Endnight Games Ltd,Endnight Games Ltd,1.00E+07,2.00E+07,10.0M,20.0M
World of Warships,2017-11-15,0.0,"10,000,000 .. 20,000,000",Wargaming Group Limited,Wargaming Group Limited,1.00E+07,2.00E+07,10.0M,20.0M
Euro Truck Simulator 2,2012-10-12,19.99,"10,000,000 .. 20,000,000",SCS Software,SCS Software,1.00E+07,2.00E+07,10.0M,20.0M
Mount & Blade II: Bannerlord,2022-10-25,49.99,"10,000,000 .. 20,000,000",TaleWorlds Entertainment,TaleWorlds Entertainment,1.00E+07,2.00E+07,10.0M,20.0M
Human: Fall Flat,2016-07-22,19.99,"10,000,000 .. 20,000,000",No Brakes Games,Curve Games,1.00E+07,2.00E+07,10.0M,20.0M
Warface,2012-04-12,0.0,"10,000,000 .. 20,000,000",MY.GAMES,MY.GAMES,1.00E+07,2.00E+07,10.0M,20.0M
Robocraft,2017-08-24,0.0,"10,000,000 .. 20,000,000",Freejam,Freejam,1.00E+07,2.00E+07,10.0M,20.0M
VRChat,2017-02-01,0.0,"10,000,000 .. 20,000,000",VRChat Inc.,VRChat Inc.,1.00E+07,2.00E+07,10.0M,20.0M
Street Warriors Online,2016-12-16,1.99,"10,000,000 .. 20,000,000",Crazy Rocks Studios,Crazy Rocks Studios,1.00E+07,2.00E+07,10.0M,20.0M
鬼谷八荒 Tale of Immortal,2021-01-27,19.99,"10,000,000 .. 20,000,000",鬼谷工作室,"鬼谷工作室, Lightning Games",1.00E+07,2.00E+07,10.0M,20.0M
7 Days to Die,2013-12-13,24.99,"10,000,000 .. 20,000,000",The Fun Pimps,The Fun Pimps Entertainment LLC,1.00E+07,2.00E+07,10.0M,20.0M
Raft,2022-06-20,19.99,"10,000,000 .. 20,000,000",Redbeet Interactive,Axolot Games,1.00E+07,2.00E+07,10.0M,20.0M
Factorio,2020-08-14,35.0,"5,000,000 .. 10,000,000",Wube Software LTD.,Wube Software LTD.,5.00E+06,1.00E+07,5.0M,10.0M
Cities: Skylines,2015-03-10,29.99,"5,000,000 .. 10,000,000",Colossal Order Ltd.,Paradox Interactive,5.00E+06,1.00E+07,5.0M,10.0M
Football Manager 2020,2019-11-19,,"5,000,000 .. 10,000,000",Sports Interactive,SEGA,5.00E+06,1.00E+07,5.0M,10.0M
Prison Architect,2015-10-06,29.99,"5,000,000 .. 10,000,000","Double Eleven, Introversion Software",Paradox Interactive,5.00E+06,1.00E+07,5.0M,10.0M
Hearts of Iron IV,2016-06-06,39.99,"5,000,000 .. 10,000,000",Paradox Development Studio,Paradox Interactive,5.00E+06,1.00E+07,5.0M,10.0M
NBA 2K20,2019-09-06,,"5,000,000 .. 10,000,000",Visual Concepts,2K,5.00E+06,1.00E+07,5.0M,10.0M
Arma 3,2013-09-12,29.99,"5,000,000 .. 10,000,000",Bohemia Interactive,Bohemia Interactive,5.00E+06,1.00E+07,5.0M,10.0M
Black Desert,2017-05-24,9.99,"5,000,000 .. 10,000,000",Pearl Abyss,Pearl Abyss,5.00E+06,1.00E+07,5.0M,10.0M
Fallout Shelter,2017-03-29,0.0,"5,000,000 .. 10,000,000",Bethesda Game Studios,Bethesda Softworks,5.00E+06,1.00E+07,5.0M,10.0M
theHunter Classic,2014-06-03,0.0,"5,000,000 .. 10,000,000","Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",5.00E+06,1.00E+07,5.0M,10.0M
Clicker Heroes,2015-05-13,0.0,"5,000,000 .. 10,000,000",Playsaurus,Playsaurus,5.00E+06,1.00E+07,5.0M,10.0M
World of Tanks,2021-04-28,0.0,"5,000,000 .. 10,000,000",Wargaming Group Limited,Wargaming Group Limited,5.00E+06,1.00E+07,5.0M,10.0M
EA SPORTS FIFA 23,2022-09-29,20.99,"5,000,000 .. 10,000,000",EA Canada & EA Romania,Electronic Arts,5.00E+06,1.00E+07,5.0M,10.0M
The Sims 4,2014-09-02,0.0,"5,000,000 .. 10,000,000",Maxis,Electronic Arts,5.00E+06,1.00E+07,5.0M,10.0M
Scrap Mechanic,2016-01-19,19.99,"5,000,000 .. 10,000,000",Axolot Games,Axolot Games,5.00E+06,1.00E+07,5.0M,10.0M
Sons Of The Forest,2023-02-23,29.99,"5,000,000 .. 10,000,000",Endnight Games Ltd,Newnight,5.00E+06,1.00E+07,5.0M,10.0M
Project Zomboid,2013-11-08,19.99,"5,000,000 .. 10,000,000",The Indie Stone,The Indie Stone,5.00E+06,1.00E+07,5.0M,10.0M
Crusader Kings III,2020-09-01,49.99,"2,000,000 .. 5,000,000",Paradox Development Studio,Paradox Interactive,2.00E+06,5.00E+06,2.0M,5.0M
Kerbal Space Program,2015-04-27,39.99,"2,000,000 .. 5,000,000",Squad,Private Division,2.00E+06,5.00E+06,2.0M,5.0M
Europa Universalis IV,2013-08-13,39.99,"2,000,000 .. 5,000,000","Paradox Development Studio, Paradox Tinto",Paradox Interactive,2.00E+06,5.00E+06,2.0M,5.0M
RimWorld,2018-10-17,34.99,"2,000,000 .. 5,000,000",Ludeon Studios,Ludeon Studios,2.00E+06,5.00E+06,2.0M,5.0M
