Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Dota 2,2013-07-09,0.0,"200,000,000 .. 500,000,000",Valve,Valve,2.00E+08,5.00E+08,200.0M,500.0M
Sid Meier's Civilization V,2010-09-21,29.99,"10,000,000 .. 20,000,000","Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",1.00E+07,2.00E+07,10.0M,20.0M
Paladins,2018-05-08,0.0,"10,000,000 .. 20,000,000",Evil Mojo Games,Hi-Rez Studios,1.00E+07,2.00E+07,10.0M,20.0M
Don't Starve Together,2016-04-21,14.99,"10,000,000 .. 20,000,000",Klei Entertainment,Klei Entertainment,1.00E+07,2.00E+07,10.0M,20.0M
Mount & Blade II: Bannerlord,2022-10-25,49.99,"10,000,000 .. 20,000,000",TaleWorlds Entertainment,TaleWorlds Entertainment,1.00E+07,2.00E+07,10.0M,20.0M
Warface,2012-04-12,0.0,"10,000,000 .. 20,000,000",MY.GAMES,MY.GAMES,1.00E+07,2.00E+07,10.0M,20.0M
Minion Masters,2019-05-24,0.0,"10,000,000 .. 20,000,000",BetaDwarf,BetaDwarf,1.00E+07,2.00E+07,10.0M,20.0M
Heroes & Generals,2016-10-18,0.0,"10,000,000 .. 20,000,000",TLM Partners,TLM Partners,1.00E+07,2.00E+07,10.0M,20.0M
7 Days to Die,2013-12-13,24.99,"10,000,000 .. 20,000,000",The Fun Pimps,The Fun Pimps Entertainment LLC,1.00E+07,2.00E+07,10.0M,20.0M
Divinity: Original Sin 2 - Definitive Edition,2017-09-14,17.99,"5,000,000 .. 10,000,000",Larian Studios,Larian Studios,5.00E+06,1.00E+07,5.0M,10.0M
Factorio,2020-08-14,35.0,"5,000,000 .. 10,000,000",Wube Software LTD.,Wube Software LTD.,5.00E+06,1.00E+07,5.0M,10.0M
XCOM 2,2016-02-04,59.99,"5,000,000 .. 10,000,000","Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)","2K, Feral Interactive (Mac), Feral Interactive (Linux)",5.00E+06,1.00E+07,5.0M,10.0M
Sid Meier’s Civilization VI,2016-10-20,5.99,"5,000,000 .. 10,000,000","Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",5.00E+06,1.00E+07,5.0M,10.0M
